Country,City,Latitude,Longitude,ID
Republic of Moldova,Cahul,45.90425,28.19929,1424
Sweden,Norrkoping,58.59419,16.1826,1043
Slovenia,Ratece,46.46815,13.71439,1926
France,Auch,43.64561,0.58856,3557
Italy,Genova,14.62216,-91.8358,1948
Suriname,Paramaribo,5.86638,-55.16682,1048
South Africa,Bloemfontein,-29.12107,26.214,2984
Australia,Leonora,-28.88509,121.33074,1259
Russian Federation,Petrozavodsk,61.78491,34.34691,968
El Salvador,Nueva Concepcion,14.2,-91.3,1189
Venezuela,La Canada,20.60805,-100.33275,2058
Papua New Guinea,Wewak,-3.54964,143.6323,1433
Argentina,El Calafate,-50.34075,-72.27682,2205
Viet Nam,Hoàng Sa,16.641233,112.742024,288
Spain,Huesca,42.13615,-0.4087,1772
Zimbabwe,Karoi,-16.80993,29.69247,957
Colombia,Manizales,5.06889,-75.51738,875
Jordan,Aqaba,29.52667,35.00778,591
Panama,Panama City,8.9936,-79.51973,1221
Australia,Toowoomba,-27.56056,151.95386,502
China,Hefei,31.86389,117.28083,553
France,La Desirade,16.31667,-61.03333,3615
Estonia,Parnu,58.38588,24.49711,1928
Cameroon,Maroua,10.59095,14.31593,3018
Saudi Arabia,Arar,30.97531,41.03808,1887
Australia,Bathurst,-33.41665,149.5806,364
Iran (Islamic Republic of),Birjand,32.86628,59.22114,1445
Gambia (The),Janjanbureh,13.54039,-14.76374,3527
Vanuatu,Saratamata,-15.29031,167.9668,1471
Viet Nam,Khánh Hòa,12.2467,109.1833,684
Viet Nam,Tiền Giang,10.3606,106.3636,146
Russian Federation,Nevinnomyssk,44.6333,41.9444,1033
India,Jaipur,26.91962,75.78781,531
France,Rochambeau,47.8006,0.97886,305
Syrian Arab Republic,Qamishli,36.4289,66.57429,1265
Australia,Leigh Creek,-30.59308,138.40027,437
New Zealand,Tokoroa,-38.23333,175.86667,2131
Australia,Zeehan,-41.88342,145.33623,1828
Ireland,Cork,51.89797,-8.47061,328
Belgium,Veurne,51.07316,2.66803,2814
Australia,Maitland,-32.73308,151.5574,445
Belgium,Jurbise,50.531,3.90942,2556
Portugal,Setubal,38.5244,-8.8882,2230
Belgium,Ellezelles,50.73512,3.67985,2433
India,Shimla,31.10442,77.16662,1622
China,Zhengzhou,34.75778,113.64861,552
Bosnia and Herzegovina,Mostar,43.34333,17.80806,14
Mexico,Leon,21.12908,-101.67374,1287
Belgium,Lint,51.12707,4.49669,2617
Australia,Northam,-24.95775,27.26543,472
India,Ahmedabad,23.02579,72.58727,522
Venezuela,Guanare,9.04183,-69.74206,2056
Russian Federation,Surgut,61.25757,73.41775,1039
France,Saint-Barthelemy,47.7501,6.58384,3616
Latvia,Liepaja,56.50474,21.01085,174
New Caledonia,Ouvea,-13.28188,-176.20663,1483
United States,Louisiana,31.169546,-91.867805,3817
Belgium,Blankenberge,51.31306,3.13227,2353
Oman,Sohar,24.34745,56.70937,1418
Republic of Korea,Seoul,37.566,126.9784,231
Kenya,Nakuru,-0.30719,36.07225,518
Belgium,Avelgem,50.77618,3.44502,2321
Australia,Bondi,45.73606,9.48848,1656
Belgium,Vosselaar,51.30856,4.8896,2824
Iceland,Reykjavik,64.13548,-21.89541,189
Australia,Cygnet,41.24005,-83.64327,1808
India,Jamshedpur,22.80278,86.18545,1595
Thailand,Phetchabun,16.41904,101.16056,569
Belgium,Wijnegem,51.22787,4.51895,2850
Australia,Moree,47.90397,1.23421,457
French Polynesia,Bora-Bora,-16.49956,-151.73714,3628
Belgium,Somme-Leuze,50.33699,5.36705,2777
India,Gaya,24.79686,85.00385,1583
Paraguay,Ciudad Del Este,-25.50972,-54.61111,1175
Viet Nam,Trà Vinh,9.9342,106.3339,587
Morocco,Marrakech,31.63416,-7.99994,180
Ireland,Wexford,52.33417,-6.4575,1917
Belgium,Haaltert,50.90634,4.00093,2491
France,Chambery,45.56628,5.92079,3592
India,Ranchi,23.34316,85.3094,1619
Belgium,Crisnee,50.71703,5.39802,2402
Republic of Korea,Daejeon,36.34913,127.38493,334
Australia,Cape Byron,-28.63342,153.63815,378
Australia,Warrnambool,-38.38176,142.48799,506
Spain,Malaga,36.72016,-4.42034,1235
Belgium,Arendonk,51.32267,5.08289,2311
Belgium,Herstal,50.66415,5.62346,2520
Guyana,New Amsterdam,6.24793,-57.5171,1496
Belgium,Attert,49.75035,5.78634,2318
Eritrea,Asmara,15.33805,38.93184,155
Spain,Marbella,36.51543,-4.88583,2187
Bahamas,Freeport,42.29669,-89.62123,1633
Belgium,Houyet,50.18619,5.00762,2538
Belgium,Mettet,50.32119,4.66232,2654
Australia,Mount Hotham,-36.97712,147.13303,1704
Bulgaria,Sofia,42.69751,23.32415,303
Belgium,Hotton,50.26742,5.44609,2534
Germany,Magdeburg,52.12773,11.62916,1351
Australia,Yuendumu,-22.25585,131.79286,1752
Ghana,Wa,10.06069,-2.50192,1387
Australia,Portland,45.52345,-122.67621,1720
Iran (Islamic Republic of),Ghom,29.22878,83.98314,1448
Ghana,Yendi,9.44272,-0.00991,1385
Saint Lucia,Vieux-Fort,15.94959,-61.69928,1248
Belgium,Herne,51.5388,7.22572,2517
Belgium,Kinrooi,51.14543,5.74207,2565
China,Xuzhou,34.20442,117.28386,1864
Nigeria,Benin,9.5,2.25,3504
Peru,Piura,-5.19449,-80.63282,106
Belgium,Rochefort,45.94304,-0.96774,2734
Australia,Dubbo,-32.24295,148.60484,395
India,Ludhiana,30.91204,75.85379,1604
North Macedonia,Ohrid,41.11722,20.80194,1499
Syrian Arab Republic,Palmyra,39.79421,-91.52321,1264
Belgium,Rotselaar,50.95302,4.71665,2738
Syrian Arab Republic,Aleppo,36.20124,37.16117,1261
Australia,Mornington,-45.88333,170.46667,1697
Belgium,Hamont-Achel,51.24967,5.50552,2500
Belgium,Edegem,51.15662,4.44504,2430
Argentina,Bariloche,-41.14557,-71.30822,858
United States,Kentucky,37.66814,-84.670067,3816
Japan,Fukuoka,33.6,130.41667,185
Spain,Vigo,42.23282,-8.72264,2200
Oman,Khassab,14.54028,-17.06361,1405
Russian Federation,Ekaterinburg,56.74311,60.80273,916
France,Albi,43.9298,2.148,3599
Belgium,Genk,50.965,5.50082,2476
China,Lanzhou,36.05701,103.83987,546
Brazil,Florianopolis,-27.59667,-48.54917,1067
Bangladesh,Dhaka,23.7104,90.40744,1163
Belgium,Oostkamp,51.15432,3.23128,2689
Kyrgyzstan,Bishkek,42.87,74.59,210
Maldives,Hanimaadhoo,6.76485,73.17564,2882
Belgium,Lichtervelde,51.03333,3.15,2607
China,Jingzhou,30.35028,112.19028,1877
Belgium,Trooz,50.57026,5.69521,2807
Spain,Barcelona,41.38879,2.15899,1232
Saudi Arabia,Dammam,26.43442,50.10326,860
Australia,Denham,-25.92679,113.53327,1218
Gambia (The),Kerewan,13.4898,-16.08879,3524
Burkina Faso,Bobo Dioulasso,11.16006,-4.33097,1526
Iran (Islamic Republic of),Tehran,35.69439,51.42151,218
Australia,Devonport,-41.17695,146.35152,394
Dominican Republic,Barahona,41.29493,-2.65637,592
Belgium,Floreffe,50.43452,4.7596,2458
Belgium,Braives,50.62848,5.14798,2369
Belgium,Aubel,50.70189,5.85812,2320
Portugal,Braganca,41.80582,-6.75719,2222
Myanmar,Yangon,16.80528,96.15611,232
Luxembourg,Luxembourg,49.75,6.16667,192
New Zealand,New Plymouth,-39.06667,174.08333,1556
Romania,Bucharest,44.43225,26.10626,200
Ireland,Donegal,40.11257,-79.38254,949
Viet Nam,Kiên Giang,10.0122,105.0809,767
Belgium,Lasne,50.68749,4.48156,2591
French Polynesia,Hiva Oa,-9.76529,-138.9994,3631
Belgium,Rouvroy,50.39247,2.90396,2739
Rwanda,Gicumbi,-3.8612,30.0087,1506
Saudi Arabia,Jizan,16.88917,42.55111,698
Australia,Beechworth,-36.35828,146.68584,1653
Sri Lanka,Ratnapura,6.6858,80.4036,344
Belgium,Comblain-Au-Pont,50.47488,5.57711,2397
Egypt,Hurghada,27.25738,33.81291,1270
Belgium,Kelmis,38.22604,41.80295,2564
Philippines,Dipolog,8.56697,123.33471,1106
Belgium,Meix-Devant-Virton,49.60581,5.48045,2645
Cambodia,Preah Sihanouk,10.60932,103.52958,3654
Australia,Pirlangimpi,-11.40297,130.429,1717
Costa Rica,Canas,42.3924,-2.84649,1126
Bahamas,Nassau,25.05823,-77.34306,97
Belgium,Nieuwpoort,51.13008,2.75135,2680
Viet Nam,Quảng Trị,16.75,107.1833,123
Australia,Jindabyne,-36.41745,148.62254,1681
Cuba,Havana,23.13302,-82.38304,280
Russian Federation,Moscow,55.75222,37.61556,206
Australia,The Entrance,-33.33876,151.4978,1736
New Zealand,Mount Cook,-41.30151,174.77477,2120
Kenya,Lodwar,3.11988,35.59642,519
Australia,Halls Creek,-18.22485,127.66647,412
New Caledonia,Koumac,-20.56667,164.28333,1479
India,Gorakhpur,29.44768,75.67206,1585
New Zealand,Christchurch,-43.53333,172.63333,539
Dominican Republic,San Juan,18.46633,-66.10572,597
United Kingdom of Great Britain and Northern Ireland,Reading,51.45625,-0.97113,1907
Venezuela,Maiquetia,10.5945,-66.95624,1199
Madagascar,Mahanoro,-19.9,48.8,3001
Belgium,Zwijndrecht,51.8175,4.63333,2875
Belgium,Tervuren,50.82372,4.51418,2792
Peru,Tacna,-18.01465,-70.25362,702
Colombia,Quibdo,5.69188,-76.65835,883
Australia,Meekatharra,-26.59524,118.49393,451
Papua New Guinea,Kavieng,-2.57337,150.79517,1428
Brazil,Belem,-1.45583,-48.50444,1061
France,Tulle,45.26582,1.77233,3545
Australia,Hervey Bay,-25.28762,152.76936,414
Belgium,Hoeselt,50.84714,5.48767,2528
Belgium,Sint-Agatha-Berchem,50.86567,4.29557,2759
United Kingdom of Great Britain and Northern Ireland,Hamilton,43.25011,-79.84963,1377
Belgium,Bonheiden,51.02261,4.54714,2357
Israel,Afula,32.60907,35.2892,1929
Thailand,Songkhla,7.19882,100.5951,578
Belgium,Sainte-Ode,50.01723,5.51926,2748
Belgium,Awans,50.66774,5.46329,2322
India,Gulbarga,17.3076,76.95524,1586
South Sudan,Malakal,9.53342,31.66049,1540
Mexico,Merida,20.97537,-89.61696,1290
Australia,Broken Hill,-31.9652,141.4512,373
Mozambique,Beira,-19.84361,34.83889,124
France,Gueret,46.17185,1.87166,3549
Slovakia,Sliac,48.61668,19.13715,1225
Republic of Korea,Jeju,8.41667,39.63333,337
Viet Nam,Thanh Hóa,19.8075,105.7764,454
Belgium,Grez-Doiceau,50.73901,4.69829,2487
Belgium,Maldegem,51.20737,3.44511,2633
Mozambique,Maputo,-25.96553,32.58322,128
