Country,City,CityId,Latitude,Longitude
Australia,Glenorchy,1677,-42.830000000,147.280000000
Australia,Gold Coast,405,-27.990000000,153.410000000
Australia,Goondiwindi,406,-28.520000000,150.330000000
Australia,Gosford,407,-33.390000000,151.330000000
Australia,Goulburn,408,-34.720000000,149.740000000
Australia,Grafton,409,-29.680000000,152.930000000
Australia,Griffith,410,-34.250000000,146.070000000
Australia,Gympie,411,-26.180000000,152.640000000
Australia,Halls Creek,412,-18.230000000,127.660000000
Australia,Hamilton,413,-37.650000000,142.060000000
Australia,Hay,1678,-34.520000000,144.850000000
Australia,Hervey Bay,414,-25.290000000,152.820000000
Australia,Heywood,1679,-38.140000000,141.630000000
Australia,Hobart,316,-42.890000000,147.330000000
Australia,Horsham,415,-36.650000000,142.100000000
Australia,Huonville,1680,-43.020000000,147.050000000
Australia,Ingham,416,-18.650000000,146.180000000
Australia,Innisfail,417,-17.530000000,146.030000000
Australia,Inverell,418,-29.780000000,151.110000000
Australia,Ipswich,419,-27.620000000,152.760000000
Australia,Ivanhoe,1318,-32.900000000,144.280000000
Australia,Jabiru,420,-12.660000000,132.890000000
Australia,Jindabyne,1681,-36.420000000,148.620000000
Australia,Kalbarri,421,-27.710000000,114.160000000
Australia,Kalgoorlie,422,-30.790000000,121.450000000
Australia,Kalumburu,1215,-14.300000000,126.640000000
Australia,Karratha,423,-20.710000000,116.770000000
Australia,Katanning,424,-33.690000000,117.560000000
Australia,Katherine,425,-14.440000000,132.270000000
Australia,Katoomba,426,-33.710000000,150.300000000
Australia,Keith,427,-36.100000000,140.060000000
Australia,Kempsey,428,-31.080000000,152.820000000
Australia,Kerang,1682,-35.720000000,143.920000000
Australia,Kilmore Gap,1683,-37.380000000,144.970000000
Australia,Kingaroy,429,-26.550000000,151.850000000
Australia,Kingscote,430,-35.660000000,137.640000000
Australia,Kingston,1684,-42.970000000,147.310000000
Australia,Kununurra,431,-15.780000000,128.710000000
Australia,Kurnell,515,-34.020000000,151.210000000
Australia,Kyabram,1685,-36.340000000,145.060000000
Australia,Kyancutta,432,-33.130000000,135.550000000
Australia,Lajamanu,1686,-18.330000000,130.640000000
Australia,Lake Eildon,1687,-37.230000000,145.910000000
Australia,Lake Grace,433,-33.100000000,118.460000000
Australia,Lake St Clair,1688,-42.120000000,146.180000000
Australia,Lakes Entrance,1689,-37.870000000,148.010000000
Australia,Latrobe,1814,-41.230000000,146.410000000
Australia,Latrobe Valley,434,-38.190000000,146.330000000
Australia,Launceston,435,-41.540000000,147.200000000
Australia,Laverton [VIC],1257,-37.870000000,144.760000000
Australia,Laverton [WA],436,-28.630000000,122.410000000
Australia,Leigh Creek,437,-30.600000000,138.420000000
Australia,Leinster,438,-27.838600000,120.703100000
Australia,Leonora,1259,-28.880000000,121.330000000
Australia,Liawenee,1815,-41.900000000,146.670000000
Australia,Lismore,439,-28.810000000,153.260000000
Australia,Lithgow,687,-33.480000000,150.160000000
Australia,Liverpool,440,-33.930000000,150.910000000
Australia,Longerenong,1690,-36.670000000,142.300000000
Australia,Longreach,441,-23.440000000,144.280000000
Australia,Lord Howe Island,442,-31.540000000,159.080000000
Australia,Mackay,443,-21.120000000,149.220000000
Australia,Maitland,445,-34.380000000,137.670000000
Australia,Maitland and Cessnock,444,-32.810000000,151.350000000
Australia,Mallacoota,1691,-37.560000000,149.750000000
Australia,Mandurah,446,-32.500000000,115.770000000
Australia,Maningrida,1692,-12.050000000,134.230000000
Australia,Manjimup,447,-34.250000000,116.140000000
Australia,Marble Bar,1251,-21.120000000,119.680000000
Australia,Mareeba,448,-17.000000000,145.430000000
Australia,Margaret River,449,-33.950000000,115.070000000
Australia,Marrawah,1816,-40.910000000,144.710000000
Australia,Maryborough,450,-25.520000000,152.710000000
Australia,Maryborough [VIC],1694,-37.060000000,143.730000000
Australia,Maydena,1817,-42.760000000,146.620000000
Australia,Meekatharra,451,-26.610000000,118.540000000
Australia,Melaleuca,1695,-43.450000000,146.150000000
Australia,Melbourne,301,-37.810000000,144.970000000
Australia,Merimbula,1317,-36.900000000,149.900000000
Australia,Merredin,452,-31.480000000,118.280000000
Australia,Mildura,453,-34.230000000,142.080000000
Australia,Moora,454,-30.640000000,116.010000000
Australia,Moorabbin,1696,-37.940000000,145.040000000
Australia,Moranbah,455,-21.990000000,148.030000000
